X,FOIL,Versio,n 6.99,,,
-10,-1.1084,0.01024,0.00572,-0.0006,1,0.0092
-9.5,-1.0583,0.00972,0.0052,0.0003,1,0.01
-9,-1.0093,0.00924,0.00472,0.0016,1,0.0108
-8.5,-0.9612,0.00883,0.00431,0.0031,1,0.0118
-8,-0.9012,0.00836,0.00386,0.0019,0.9989,0.0132
-7.5,-0.8385,0.00794,0.00346,0.0002,0.9975,0.0151
-7,-0.7762,0.00754,0.00309,-0.0014,0.9951,0.0173
-6.5,-0.7159,0.00716,0.00274,-0.0025,0.9894,0.0206
-6,-0.6596,0.00684,0.00245,-0.0026,0.9783,0.0246
-5.5,-0.6069,0.00655,0.00217,-0.0018,0.96,0.0302
-5,-0.5535,0.0063,0.00191,-0.0011,0.9361,0.0381
-4.5,-0.4994,0.00606,0.00166,-0.0007,0.9054,0.0504
-4,-0.4447,0.00585,0.00143,-0.0003,0.8673,0.0682
-3.5,-0.3896,0.00565,0.00123,-0.0001,0.8233,0.0938
-3,-0.3343,0.00546,0.00104,0,0.7737,0.1291
-2.5,-0.2789,0.00528,0.00089,0.0001,0.7224,0.1741
-2,-0.2234,0.00512,0.00076,0.0001,0.6691,0.2252
-1.5,-0.1677,0.00499,0.00066,0.0001,0.6149,0.2801
-1,-0.1119,0.0049,0.00059,0.0001,0.5608,0.3357
-0.5,-0.056,0.00485,0.00055,0.0001,0.5054,0.3931
0,0,0.00482,0.00054,0,0.4505,0.4495
0,0,0.00482,0.00054,0,0.4504,0.4496
0.5,0.056,0.00485,0.00055,-0.0001,0.3931,0.505
1,0.1118,0.0049,0.00059,-0.0001,0.3356,0.5608
1.5,0.1677,0.005,0.00066,-0.0001,0.2803,0.6136
2,0.2234,0.00512,0.00076,-0.0001,0.2255,0.6684
2.5,0.2789,0.00529,0.00089,-0.0001,0.1732,0.7221
3,0.3343,0.00546,0.00104,0,0.1299,0.7742
3.5,0.3895,0.00565,0.00123,0.0001,0.0935,0.8232
4,0.4446,0.00585,0.00143,0.0004,0.0676,0.8674
4.5,0.4993,0.00606,0.00166,0.0007,0.0502,0.9052
5,0.5535,0.0063,0.00191,0.0011,0.038,0.9362
5.5,0.6069,0.00655,0.00217,0.0018,0.0302,0.96
6.5,0.716,0.00716,0.00274,0.0024,0.0207,0.9894
7,0.7763,0.00754,0.00309,0.0014,0.0173,0.9951
7.5,0.8386,0.00794,0.00346,-0.0002,0.0151,0.9975
8,0.9015,0.00837,0.00386,-0.002,0.0132,0.999
8.5,0.961,0.00883,0.00431,-0.003,0.0118,1
9,1.0092,0.00924,0.00472,-0.0015,0.0109,1
9.5,1.0582,0.00972,0.0052,-0.0003,0.01,1
10,1.1084,0.01024,0.00573,0.0006,0.0092,1
10.5,1.1592,0.01078,0.00628,0.0013,0.0086,1
11,1.2097,0.01138,0.00689,0.002,0.008,1
11.5,1.2597,0.01204,0.00758,0.0028,0.0075,1
12,1.3094,0.01269,0.00825,0.0035,0.0072,1
12.5,1.3575,0.01348,0.00908,0.0044,0.0067,1
13,1.4052,0.01426,0.0099,0.0053,0.0064,1
13.5,1.4521,0.01506,0.01074,0.0063,0.0061,1
14,1.497,0.01598,0.01171,0.0076,0.0059,1
14.5,1.5385,0.01717,0.01297,0.0092,0.0055,1
15,1.5806,0.01816,0.01402,0.0106,0.0054,1
15.5,1.62,0.01927,0.0152,0.0124,0.0053,1
16,1.6558,0.02052,0.01653,0.0146,0.0051,1
16.5,1.6851,0.02195,0.01803,0.0175,0.0049,1
17,1.7007,0.02376,0.01995,0.0222,0.0047,1
17.5,1.7088,0.02638,0.02272,0.0262,0.0046,1
18,1.7201,0.02921,0.02567,0.0285,0.0045,1
18.5,1.7256,0.03313,0.02973,0.0296,0.0045,1
19,1.7234,0.03862,0.03538,0.0288,0.0044,1
19.5,1.7097,0.04645,0.0434,0.0257,0.0044,1
20,1.6754,0.05814,0.05533,0.0196,0.0043,1
20.5,1.6025,0.07672,0.07422,0.0092,0.0044,1
21,1.3181,0.13546,0.13373,-0.0253,0.0046,1
21.5,1.1454,0.18248,0.18123,-0.0574,0.0049,1
22,1.0995,0.20424,0.20314,-0.0731,0.0048,1
22.5,1.0894,0.21713,0.21609,-0.0826,0.0046,1
23,1.0858,0.22844,0.22747,-0.0911,0.0045,1
23.5,1.0864,0.23862,0.23771,-0.0989,0.0043,1
24,1.0871,0.24919,0.24833,-0.107,0.0041,1
24.5,1.0925,0.25819,0.25735,-0.1141,0.0039,1
